Title,Author (comma seperated),Publish Date,ISBN,Tags (comma separated),height total (inches)
Pattern-Oriented Software Architecture Volume 1: A System of Patterns,"Frank Buschmann, Regine Meunier, Hans Rohnert, Peter Sommerlad, Michael Stal",1996,9780471958697,"architectural patterns, design patterns, idioms, pattern systems",
Pair Programming Illuminated,"Laurie Williams, Robert Kessler",2003,9780201745764,"personality types pairing, seven myths of pair programming, pair rotation, pair programming problems, pair programming in XP",
Hacker's Delight,Henry S. Warren Jr.,2003,9780201914658,"programming tricks, power-of-2 boundaries, integer division, Gray Code, computer arithmetic",
The Science of Programmin,David Gries,1981,3540964800,"prepositions, predicates, equivalence transformations, invariants, semantics, iterative command",
Abstraction and Specification in Program Development,"Barbara Liskov, John Guttag",1986,262121123,"CLU, data abstraction, procedural abstraction, iteration abstractions, testing, debugging, program verification",
Software Engineering and Environment: An Object-Oriented Perspective,Phillip C.-Y. Sheu,1997,9780306451638,"software life cycle models, formal spcifications, o-o concepts, programming tools, design methodologies, declarative programming, verification, testing, software maintenance",
"Managing Software for Growth: Without Fear, Control, and the Manufacturing Mindset",Roy Miller,2004,9780321117434,,
Intellectual Property: A Guide for Engineers,,2001,9780791801604,"patents, copyrights, trademarks",
A Legal Guide for the Software Developer Sixth Edition,A Collaborative Effort,2000,1888404248,"patents, copyrights, trademarks",
Ultra-Large-Scale Systems: The Software Challenge of the Future,Bill Pollak,2006,9780978695606,,
Business Models: A Guide for Business IT,Haim Kilov,2002,9780130621351,"basics of modeling, business patterns",
Open Scource Technology and Policy,"Fadi P. Deek, James A. M. McHugh",2008,9780521707411,"open source internet applications, social aspect of open source, psychologial aspects, legal aspects, ",
"Probability and Statistics with Reliability, Queuing, and Computer Science Applications",Kishor Shridharbhai Trivedi,1982,137115644,"probability theory, Stochastic Processes, discrete-parameter Markov chains, continuous-parameter Markov chains, statistical inference, regression, correlation, analysis of variance",
Domain Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,2004,321125215,"domain modeling, domain object life cycle, distillation, large-scale structure, supple design, strategic design, communication",
Denotational Semantics: The Scott-Strachey Approach to Programming Language Theory,Joseph E. Stoy,1977,262690764,"first-class functions, lattices, reflexive domains, lambda-calculus, non-standard semantics, jumps, continuations",
Securing Business Information: Strategies to Protect the Enterprise and Its Network,"F. Christian Byrnes, Dale Kutnick",2001,9780201767353,"security domains, baseline security analysis, technology strategy, security technologies, single-point administration",180
Distributed Object Architecture with CORBA,Henry Balen,2000,9780521654180,"organization of a system, frameworks, smooth interface granularity,  meta data, transactions, , distributed objects, security, COM/CORBA integration",
Software Fundamentals: Collected Papers by David L. Parnas,"Daniel M. Hoffman, David M. Weiss",2001,9780201703696,"relational documentation, abstract interfaces, modular program construction, predicate logic, concirrency",
Quality Software Management Volume 4: Anticipating Change,Gerald M. Weinberg,1997,9780932633323,"Satir Change Model, meta-planning, process principles, requirements process, protecting information, starting projects, sustaining projects, terminating projects",
Operating Systems: A Pragmatic Approach,Harry Katzan Jr.,1973,442242530,"dynamic loading storage structure, address translation, virtual memory, access methods, computer structures, program structures, system structure",
dotCrime Manifesto: How to Stop Internet Crime,Phillip Hallam-Baker,2008,9780321503589,"cyber crimes, botnets, spam, phishing, cyber terrorism, cryptography, security, laws and the internet",
The Roadmap to Software Engineering; A Standards-Based Guide,James W. Moore,2006,9780471683629,"software requirements, software design, software testing , software maintenance, software configuration management, software life cycle processes",
Software Engineering: Fifth Edition,Ian Commerville,1995,9780201427653,"requirements analysis, architectural design, managing people, requirements engineering, software evolution, software design , verification and validation",
"Software Engineering: Barry W. Boehm's Lifetime Contributions to Software Development, Management, and Research",Richard W. Selby,2007,9780470148730,"software architecture, software economics, software tools, value-based software engineering, risk management, systems management",
"Problem-Solving Principles for ADA Programmers: Applies Logic, Psychology, and Grit",William E. Lewis,1982,810452111,"method to madness, basic problem-solving, advanced problem-solving, debugging, framework for prblem solving",
Smalltalk-80: The Interactive Programming Environment,Adele Goldberg,1984,201113724,"modifying classes, creating classes, objects, evaluating expressions, finding information, errors, file system",
Theory and Problems of Computers and Programming,Francis Scheid,1982,9780070551961,"information processing, program logic, top-down structured programming, arrays, I/O format, graph problems",
The Computer Engineering Handbook,Vojin G. Oklobdzija,2002,9780849308857,"fabrication, computer systems and architecture, embedded applications, signal processing, I/), operating systems, wireless, computer networks",
Structured Systems Analysis: Tools and Techniques,"Chris Gane, Trish Sarson",1977,930196007,"data flow diagrams, data dictionary, process logic, data stores",196
Software Architecture in Practice,"Len Bass, Paul Clements, Rick Kazman",1998,9780201199307,"architecture business cycle, quality attributes, architecture styles, unit operations, case studies, architecture description languages, reusing architectures",
The Rational Unified Process Made Easy: A Practioner's Guide to RUP,"Per Kroll, Philippe Kruchten",2003,321166094,"use cases, component design, software architecture, planning iterative projects, role-based guides to RUP, inception phase, elaboration phase, construction phase,transition phase",
UML Xtra-Light: How to Specify Your Software Requirements,"Milan Kratochvil, Barry McGibbon",2003,9780521892421,"UML for nontechnical people, activity diagrams, business use-case diagrams, class diagrams, state diagrams, component library",
Proceedings The Sixteenth Annual International Computer Software and Applications Conference,,1992,818630000,"software process models, object-oriented methodology, programming environments, user interfaces, requirements, software tools, testing, debugging, simulation and animation",
Developing Applications with Java and UML,Paul R. Reed Jr.,2002,9780201702521,"Rational Unified Process, object-oriented analysis and design, use cases, user interface prototypes, dynamic elements, data persistence, infrastructure, architecture",
The Rational Unified Process and Introduction Third Edition,Philippe Kruchten,2004,9780321197702,"workfolws, artifacts, phases, milestones, static structure, dynamic structure, diciplines, process management, business modeling, requirements, testing, environment",
Software Reuse: A Standards-Based Guide,Carma McClure,2001,9780769508740,"IEEE/EIA Standard 12207, IEEE Standard 1517, asset management process, domain engineering, UML",
Tutorial: Software Reuse: Emerging Technology,Will Tracz,1988,818608463,"reusability framework, reuse motivation, reusable parts, Frame-Based software engineering, libraries, Ada, reuse research",
Server Component Patterns: Component Infrastructures Illustrated with EJB,"Markus Volter, Alexander Schmid, Eberhard Wolff",2002,9780470843192,"EJB, CCM, COM+, core infrastructure elements, server component pattern languages, container implementation, remote access",
Tutorial: Software Reusability,Peter Freeman,1987,818607505,"reusable software engineering concepts, information hiding, Ada, Smalltalk-80, interface issues, Unix and reusability, Draco Approach",
"Coded Character Sets, History and Development",Charles E. Mackenzie,1980,201144603,"bit, byte, bit pattern, bit numbering, IPC, BCDIC, FIELDATA, ASCII, Decimal ASCII, PTTC, logical or, logical not, card coding",
STL Tutorial and Reference Guide: C++ Programming with the Standard Template Library,"David R. Musser, Atul Saini",1996,9780201633986,"C++ standard template library, iterators, generic algorithms, function objects, container adaptors, program examples",
Third International Conference on Software Reuse: Advances in Software Reusability,William B. Frakes,1994,818666323,"reuse tools, retrieval methods, reuse environments, reuse measurement, domain models for reusability",
Effective STL: 50 Specific Ways to improve Your Use of the Standard Template Library,Scott Meyers,2001,9780201749625,"C++ standard template library, STL containers, iterators, algorithms, functions, vectors",
Fourth International Conference on Software Reuse,Murali Sitaraman,1996,9780818673016,"ssoftware architecture, software reuse business, domain analysis, object-based computing",
Fifth International Conference on Software Reuse,"Premkumar Devanbu, Jeffrey Poulin",1998,9780818683770,"domain modeling, software architecture, process issues, reusable animations, domain analysis, class generation, inheritance",
Design Patterns Explained: A New Perspective on Object-Oriented Design,"Alan Shalloway, James R. Trott",2002,9780201715941,"encapsulation, inheritance, Strategy pattern, Observer pattern, Decorator pattern, UML,  analysis matrix",
The Unified Modeling Language User Guide,"Grady Booch, James Rumbaugh, Ivar Jacobson",1999,9780201571684,"class diagrams, relationships, object diagrams, advanced classes, packages, state machines, use case diagrams, interaction diagrams, events, signals, architectural modeling",212
Software Engineering Handbook,Jessica Keyes,2003,9780849314797,"project plan, requirements elicitation, object-oriented design, software testing, re-engineering",
Documenting Software Architectures: Views and Beyond,"Paul Clements, Felix Bachmann, Len Bass, David Garlan, James Ivers, Reed Little, Robert Nord, Judith Stafford",2003,9780201703726,"architecture documentation, module viewtype, component-and-connector viewtype, allocation viewtype, ",
Basic: A Hands-On Method Second Edition,Herbert D. Peckham,1981,9780070491601,"computer arithmetic, I/O, loops, functions, program management, strings, random numbers",
The Standard C Library,P.J. Plauger,1992,9780131315099,"C API, float.h, math.h, stddef.h, stdio.h",
Practical Software Engineering: Analysis and Design for the .NET Platform,Enricos Manassis,2004,321136195,"Rational Unified Process, Object Oriented Analysis and Design, system specification, system analysis, system design, implementation model, testing",
Ada: An Advanced Introduction,Narain Gehani,1983,130039624,"types, packages, concurrency, program structure, representation clauses",
Use Case Modeling,"Kurt Bittner, Ian Spence",2003,9780201709131,"actors, life cycle of use case, documenting use cases, stakeholders, reviewing ise cases",
"Objects, Components, and Frameworks with UML: The Catalysis Approach","Desmond D. D'Souza, Alan Cameron Wills",1999,9780201310122,"static models, behavior models, interaction models, documentation, applying Catalysis, business model, components",
Software Reuse,Roy Rada,1995,9781871516531,"software lifecycle, reuse framework, case studies, reuse tools, organising for reuse",
Smalltalk-80: The Language and its Implementation,"Adele Goldberg, David Robson",1983,201113716,"expression syntax, objects, messages, classes, subclasses, linear measures, protocol for streams, graphics kernel, event-driven simulations, SMalltalk Virtual Machine",
Use Case Driven Object Modeling with UML: A Practical Approach,"Doug Rosenberg, Kendall Scott",1999,9780201432893,"domain modeling, use case modeling, interaction modeling, robustness analysis, state modeling",
"Smalltalk-80: Bits of History, Words of Advice",Glenn Krasner,1983,201116693,"development of Smalltalk-80, evolution of Smalltalk Virtual Machine, implementing Smalltalk",
The Object Constraint Language: Precise Modeling with UML,"Jos Warmer, Anneke Kleppe",1999,9780201379402,"OCL constructs, set type, bag type, sequence type, collections of objects, constraints, preconditions, postconditions, inheritance",
Developing Software with UML: Object-Oriented Analysis and Design in Practice,Bernd Oestereich,2002,9780201756036,"basic o-o, use cases, stakeholders, business process, technical dictionary, software design, UML diagrams",
Smalltalk: Best Practice Patterns,Kent Beck,1997,9780134769042,"methods, constructor method, method object, messages, instance variables, classes, collection protocol, collection idioms",
Design Patterns Java Workbook,Steven John Metsker,2002,9780201743975,"proxies, mediators, FACADE pattern, Bridge pattern, thread-safe iterators,  Prototype pattern,  Decorator pattern",
Essential System Requirements: A Practical Guide to Event-Driven Methods,Bill Wiley,2000,9780201616064,"function point estimation, event-partitioned system requirements, estimating, business events, data/process interactions",
Making the Software Business Case: Improvement by the Numbers,Donald J. Reifer,2002,9780201728873,"business case analysis, present-value, return-on-investmenr, break-even, cost/benefit calculations, case studies",
The Rational Unified Process: An Intorduction Second Edition,Philippe Kruchten,2000,9780201707106,"static strcture, dynamic structure, business modeling, implementation workflow, test workflow, iteration plans, environment workflow",
Modeling XML Applications wiht UML: Practical e-Business Applications,David Carlson,2001,9780201709155,"XML vocabularies, UML diagrams, XML Schemas, e-Business architectures, XML DTDs, vocabulary transformation, RosettaNet XML standard",
Theory and Problems of Set Theory and Related Topics,Seymour Lipschutz,1964,9780070379862,"functions, relations, cardinal and ordinal numbers, transfinite induction, Zorn's Lemma, algebra of propositions, boolean algebra",229
